Product name,SKU,URL,Image url,Price,Discount,Review count,Description,Tiki Now,Under Price,Benefit,Gift,Rating
Laptop HP Envy 13-ba1028TU 2K0B2PA (Core i5-1135G7/ 8GB DDR4 2666MHz (Onboard)/ 512GB PCIe NVMe/ 13.3 FHD IPS/ Win10 + Office Home & Student) - Hàng Chính Hãng,5833528059213,https://tiki.vn/laptop-hp-envy-13-ba1028tu-2k0b2pa-core-i5-1135g7-8gb-ddr4-2666mhz-onboard-512gb-pcie-nvme-13-3-fhd-ips-win10-office-home-student-hang-chinh-hang-p74343369.html?src=ss-organic,https://salt.tikicdn.com/cache/280x280/ts/product/66/f6/d5/f7d29b863d75d8e149e12d0c8d896b56.jpg,22459000,5%,5,"Thiết kế hiện đại
Laptop HP Envy 13-ba1028TU 2K0B2PA (Core i5-1135G7/ 8GB DDR4 2666MHz (Onboard)/ 512GB PCIe NVMe/ 13.3 FHD IPS/ Win10 + Office Home &amp; Student) - Hàng Chính Hãng thiết kế theo xu...",Yes,No,Yes,No,4.8
Laptop Asus Vivobook X515MA-BR113T (N5030/ 4G/ 256GB SSD/ 15.6 HD/ Win10) - Hàng Chính Hãng,3153400155878,https://tiki.vn/laptop-asus-vivobook-x515ma-br113t-n5030-4g-256gb-ssd-15-6-hd-win10-hang-chinh-hang-p77692949.html?src=ss-organic,https://salt.tikicdn.com/cache/280x280/ts/product/5d/3b/7e/85c17078fe0738ca338c354f40e4430e.jpg,7789000,4%,4,"Thiết kế mỏng nhẹ
Laptop Asus Vivobook X515MA-BR113T (N5030/ 4G/ 256GB SSD/ 15.6 HD/ Win10) - Hàng Chính Hãng được thiết kế tương đối gọn, nhẹ khoảng 1.8kg, có tính cơ động cao, dễ dàng mang theo khi...",Yes,Yes,Yes,No,5
Laptop HP 15s-fq2046TU 31D94PA (Core i5-1135G7/ 8GB DDR4 2666MHz/ 256GB PCIe NVMe/ 15.6 SVA/ Win10) - Hàng Chính Hãng,1924942321162,https://tiki.vn/laptop-hp-15s-fq2046tu-31d94pa-core-i5-1135g7-8gb-ddr4-2666mhz-256gb-pcie-nvme-15-6-sva-win10-hang-chinh-hang-p74342054.html?src=ss-organic,https://salt.tikicdn.com/cache/280x280/ts/product/81/3a/ea/c738f3369e72eb54529e6641e72e0730.jpg,14889000,4%,2,"Thiết kế đẹp mắt
Laptop HP 15s-fq2046TU 31D94PA được thiết kế với kiểu dáng đẹp mắt, với tông màu bạc sang trọng, các góc cạnh của máy được bo tròn để dễ dàng cho vào balo.
Cấu hình mượt mà
Được...",Yes,Yes,Yes,No,None
Apple Macbook Pro 2020 - 13 Inchs (Core i5 - 2.4GHz/ 16GB/ 512GB) - Hàng Chính Hãng,2006593200894,https://tiki.vn/apple-macbook-pro-2020-13-inchs-core-i5-2-4ghz-16gb-512gb-hang-chinh-hang-p56366389.html?src=ss-organic,https://salt.tikicdn.com/cache/280x280/ts/product/2c/2c/48/13b2d433d13c9b71e8f0e08ed8721297.jpg,45999000,12%,0,"Hiệu năng mạnh mẽ
Apple Macbook Pro 2020 - 13 Inchs (Core i5 - 2.4GHz/ 8GB/ 512GB) - Hàng Chính Hãng hiện cung cấp bộ xử lý Intel Core lõi tứ thế hệ thứ 10 với tốc độ Turbo Boost lên tới 4,1 GHz....",Yes,No,Yes,No,None
Laptop Asus ZenBook Flip 13 UX363EA-HP130T (Core i5-1135G7/ 8GB LPDDR4X Onboard/ 512GB SSD PCIE G3x4/ 13.3 FHD Touch IPS/ Win10) - Hàng Chính Hãng,8272271802344,https://tiki.vn/laptop-asus-zenbook-flip-13-ux363ea-hp130t-core-i5-1135g7-8gb-lpddr4x-onboard-512gb-ssd-pcie-g3x4-13-3-fhd-touch-ips-win10-hang-chinh-hang-p75553081.html?src=ss-organic,https://salt.tikicdn.com/cache/280x280/ts/product/ec/15/65/d97d482f6e6dc468d59ebfa5124e0003.jpg,24629000,5%,3,"Bản lề ErgoLift 360 độ linh hoạt
Asus Zenbook Flip UX363EA sử dụng bản lề ErgoLift 360 có khả năng xoay gập và kết cấu chắc chắn. Bạn có thể sử dụng máy tính ở 4 chế độ: máy tính xách tay; dạng mái...",Yes,Yes,Yes,No,3.7
Laptop Dell Inspiron 5593 7WGNV1 Core i5-1035G1/ Win10 (15.6 FHD) - Hàng Chính Hãng,1518394938087,https://tiki.vn/laptop-dell-inspiron-5593-7wgnv1-core-i5-1035g1-win10-15-6-fhd-hang-chinh-hang-p39992118.html?src=ss-organic,https://salt.tikicdn.com/cache/280x280/ts/product/ff/78/cd/3c908fbd3e07b2542f2a355109e3c278.jpg,17590000,12%,4,"Màn hình hiển thị sắc nét
Laptop Dell Inspiron 5593 7WGNV1 cho bạn thưởng thức chi tiết rõ nét với màn hình 15.6-inch cùng độ phân giải Full HD để xem mọi thứ tốt hơn, đặc biệt với tấm nền chống chói...",No,Yes,No,No,5
Laptop Dell Vostro 3400 70235020 (Core i3-1115G4/ 8GB/ 256GB SSD/ 14 FHD/ Win10) - Hàng Chính Hãng,4190463533425,https://tiki.vn/laptop-dell-vostro-3400-70235020-core-i3-1115g4-8gb-256gb-ssd-14-fhd-win10-hang-chinh-hang-p77694537.html?src=ss-organic,https://salt.tikicdn.com/ts/upload/f3/74/46/f4c52053d220e94a047410420eaf9faf.png,12950000,0%,0,"Thiết kế mỏng nhẹ, luôn đồng hành bên bạn
Công việc của bạn yêu cầu thường xuyên phải di chuyển, cần một chiếc laptop thực sự gọn nhẹ. Laptop Dell Vostro 3400 70235020 chính là một sản phẩm như vậy...",No,No,No,No,None
"Laptop ASUS TUF Gaming A15 FA506IU-AL127T (AMD Ryzen 7 4800H/ 8GB DDR4 3200MHz/ 512GB SSD M.2 PCIE G3X2/ GTX 1660Ti 6GB GDDR6/ 15.6 FHD IPS, 144Hz/ Win10) - Hàng Chính Hãng",9679945874611,https://tiki.vn/laptop-asus-tuf-gaming-a15-fa506iu-al127t-amd-ryzen-7-4800h-8gb-ddr4-3200mhz-512gb-ssd-m-2-pcie-g3x2-gtx-1660ti-6gb-gddr6-15-6-fhd-ips-144hz-win10-hang-chinh-hang-p55880882.html?src=ss-organic,https://salt.tikicdn.com/cache/280x280/ts/product/3f/a3/6d/1c4877eb00a92d7ad76faa59c41b1c3a.jpg,25579000,7%,5,"Đẳng cấp chiến binh
Laptop ASUS TUF Gaming A15 FA506IU-AL127T (AMD Ryzen 7 4800H/ 8GB DDR4 3200MHz/ 512GB SSD M.2 PCIE G3X2/ GTX 1660Ti 6GB GDDR6/ 15.6 FHD IPS, 144Hz/ Win10) - Hàng Chính Hãng được...",Yes,No,Yes,No,5
Laptop Asus 14 X409MA-BV157T (N4020/ 4GB DDR4 2400MHz/ 256GB PCIe Gen3x2/ 14 HD/ Win10) - Hàng Chỉnh Hãng,1301664693973,https://tiki.vn/laptop-asus-14-x409ma-bv157t-n4020-4gb-ddr4-2400mhz-256gb-pcie-gen3x2-14-hd-win10-hang-chinh-hang-p59149615.html?src=ss-organic,https://salt.tikicdn.com/cache/280x280/ts/product/c9/82/eb/fac28ca7bda9b0f7394bc83d5158b54c.jpg,6959000,7%,9,"Thiết kế nhỏ gọn
Kích thước được thu gọn xuống mức tối thiểu nhờ màn hình NanoEdge không viền trên bốn cạnh, Asus Vivobook X409MA BV157T là chiếc laptop mỏng nhẹ sở hữu một thân hình nhỏ gọn và thanh...",Yes,Yes,Yes,No,4.6
Laptop Asus VivoBook S15 S533EA-BQ018T (Core i5-1135G7/ 8GB DDR4 3200MHz/ 512GB M.2 NVMe PCIe 3.0/ 15.6 FHD/ Win10) - Hàng Chính Hãng,6782311867162,https://tiki.vn/laptop-asus-vivobook-s15-s533ea-bq018t-core-i5-1135g7-8gb-ddr4-3200mhz-512gb-m-2-nvme-pcie-3-0-15-6-fhd-win10-hang-chinh-hang-p73807070.html?src=ss-organic,https://salt.tikicdn.com/cache/280x280/ts/product/32/af/1c/8cba360dc129256dc345a1d271d5eb76.jpg,17929000,8%,4,"Thiết kế gọn nhẹ
Laptop Asus VivoBook S15 S533EA-BQ018T mang trên mình một sự trang nhã trong thiết kế, với trọng lượng 2.6kg và kích thước 45.8 x 6.5 x 29.0 cm khiến chiếc laptop Asus này vô cùng...",Yes,No,Yes,No,4.5
