Product name,SKU,URL,Image url,Price,Discount,Review count,Description,Tiki Now,Under Price,Benefit,Gift
"Laptop Dell Inspiron N3501C i3 1115G4/4GB/256GB/15.6""FHD/Win 10 Hàng chính hãng",9083976626788,https://tiki.vn/laptop-dell-inspiron-n3501c-i3-1115g4-4gb-256gb-15-6-fhd-win-10-hang-chinh-hang-p80782865.html?src=ss-organic,https://salt.tikicdn.com/cache/280x280/ts/product/57/36/92/5339d1a05928f8906f5f029224078116.jpg,11.990.000 ₫,4%,0,"CPU: Intel Core i3-1115G4 (tối đa 4.10GHz, 6MB)
RAM: 4GB (1x4GB) DDR4 2666MHz (2 khe)
Ổ cứng: 256GB SSD M.2 PCle Gen3 x4 NVMe
VGA: Intel UHD Graphics
Màn hình: 15.6-inch FHD (1920 x1080) Anti-Glare...",No,No,No,No
Laptop MSI GF75 Thin 9RCX-432VN (Core i5-9300H/ 8GB DDR4 2666MHz/ 256GB SSD M.2 PCIE/ GTX 1050Ti 4GB/ 17.3 FHD IPS/ Win10) - Hàng Chính Hãng,9681006656227,https://tiki.vn/laptop-msi-gf75-thin-9rcx-432vn-core-i5-9300h-8gb-ddr4-2666mhz-256gb-ssd-m-2-pcie-gtx-1050ti-4gb-17-3-fhd-ips-win10-hang-chinh-hang-p42704938.html?src=ss-organic,https://salt.tikicdn.com/cache/280x280/ts/product/b2/02/40/1add08bbc0d04c51e29151dbe25e0bbb.jpg,21.900.000 ₫,0%,0,"Thiết kế hiện đại, nổi bật
Laptop MSI GF75 Thin 9RCX-432VN có thiết kế đơn giản, tinh tế, gọn nhẹ. Nắp máy và thân máy được làm bằng kim loại mang hơi hướng của tương lai thể hiện sự hiện đại vượt...",No,Yes,No,No
Surface Pro 7 Core I5 Ram 8Gb Ssd 256Gb Brand New - Hàng chính hãng  ( giao màu ngẫu nhiên ),2787376781433,https://tiki.vn/surface-pro-7-core-i5-ram-8gb-ssd-256gb-brand-new-hang-chinh-hang-giao-mau-ngau-nhien-p47370477.html?src=ss-organic,https://salt.tikicdn.com/ts/upload/f3/74/46/f4c52053d220e94a047410420eaf9faf.png,32.890.000 ₫,None,0," 

- CPU: Intel Core i5-1035G4- Card đồ họa: Intel Iris Plus Graphics- Bộ nhớ trong: 256 GB SSD- RAM: 8 GB- Kích thước màn hình: 12.3” PixelSense Display- Độ phân giải: 2736 x 1824 pixels (267...",No,No,No,No
"LapTop Lenovo V15 IIL - 82C500MNVN | Intel Core i3 _ 1005G1 | 4GB | 256GB SSD PCIe | VGA INTEL | 15,6 inch Full HD | Finger | FreeDos | Hàng Chính Hãng",3129941010460,https://tiki.vn/laptop-lenovo-v15-iil-82c500mnvn-intel-core-i3-_-1005g1-4gb-256gb-ssd-pcie-vga-intel-15-6-inch-full-hd-finger-freedos-hang-chinh-hang-p68281811.html?src=ss-organic,https://salt.tikicdn.com/cache/280x280/ts/product/41/84/82/109b677e13b3b4ff8a823c994ea2cdf0.png,9.800.000 ₫,6%,0,"Thông Số Kỹ Thuật



CPU
10th Generation Intel Core i3 _ 1005G1 Processor ( 1.20 GHz, 4M Cache, up to 3.40 GHz)


Memory
4GB DDr4 Bus 2666Mhz Onboard (1 x Slot RAM)


Storage
256GB PCIe NVMe M.2 SSD...",Yes,No,No,No
Surface Book 2 15 Inch Core I7 Ram 16Gb 512Gb (New) - Hàng chính hãng,2601750740109,https://tiki.vn/surface-book-2-15-inch-core-i7-ram-16gb-512gb-new-hang-chinh-hang-p55651297.html?src=ss-organic,https://salt.tikicdn.com/ts/upload/f3/74/46/f4c52053d220e94a047410420eaf9faf.png,62.500.000 ₫,18%,0," 




Màn hình


13.5 inch




Độ phân giải


3240 x 2160, (260 PPI)




Hệ điều hành


Windows 10 Pro




CPU


Intel Core i5




Bộ nhớ


SSD 128GB




RAM


8GB




Đồ họa


GPU tích hợp đồ họa...",No,No,No,No
Combo Laptop AVITA LIBER V 14 màu đen mờ + Balo - Hàng chính hãng,5271910457566,https://tiki.vn/combo-laptop-avita-liber-v-14-mau-den-mo-balo-hang-chinh-hang-p68138622.html?src=ss-organic,https://salt.tikicdn.com/ts/upload/f3/74/46/f4c52053d220e94a047410420eaf9faf.png,16.069.000 ₫,11%,0,"LIBER V 14"" Matt black with Backpack - Intel Core i5-10210U/8GB RAM/512GB SSD
- Hệ điều hành: Windows 10 Home
- CPU: Intel Core i5-10210U
- Màn hình: Tấm nền IPS chống lóa 14 ""16: 9 Full HD (1920 x...",No,No,No,No
"Laptop MSI GS66 Stealth 10UE-200VN (Core i7-10870H/ 16GB (8GBx2) DDR4 3200MHz/ 2TB SSD PCIE G3X4/ RTX3060 Max-Q 6GB GDDR6/ 15.6 FHD IPS, 300Hz/ Win10) - Hàng Chính Hãng",6964804211046,https://tiki.vn/laptop-msi-gs66-stealth-10ue-200vn-core-i7-10870h-16gb-8gbx2-ddr4-3200mhz-2tb-ssd-pcie-g3x4-rtx3060-max-q-6gb-gddr6-15-6-fhd-ips-300hz-win10-hang-chinh-hang-p81534015.html?src=ss-organic,https://salt.tikicdn.com/cache/280x280/ts/product/dd/13/6d/388911242a4ced406f12c45cc33c59f0.jpg,55.679.000 ₫,6%,0,"Thiết kế Core Black sắc sảo
Laptop MSI GS66 Stealth 10UE-200VN (Core i7-10870H/ 16GB (8GBx2) DDR4 3200MHz/ 2TB SSD PCIE G3X4/ RTX3060 Max-Q 6GB GDDR6/ 15.6 FHD IPS, 300Hz/ Win10) - Hàng Chính Hãng...",Yes,No,Yes,No
Laptop Acer Aspire 3 A315-55G-59BC NX.HNSSV.003 (Core i5-10210U/ 4GB DDR4 2400MHz/ 256GB SSD M.2 PCIE/ MX230 2GB/ 15.6 FHD/ Win10) - Hàng Chính Hãng,1778080522796,https://tiki.vn/laptop-acer-aspire-3-a315-55g-59bc-nx-hnssv-003-core-i5-10210u-4gb-ddr4-2400mhz-256gb-ssd-m-2-pcie-mx230-2gb-15-6-fhd-win10-hang-chinh-hang-p52262776.html?src=ss-organic,https://salt.tikicdn.com/cache/280x280/ts/product/a8/50/d4/e2ea169ffe03e38136e1f9ac134610e9.jpg,14.279.000 ₫,5%,0,"Thiết kế nhỏ gọn, bắt mắt
Laptop Acer Aspire 3 A315-55G-59BC NX.HNSSV.003 (Core i5-10210U/ 4GB DDR4 2400MHz/ 256GB SSD M.2 PCIE/ MX230 2GB/ 15.6 FHD/ Win10) - Hàng Chính Hãng có thiết kế màu sắc nổi...",Yes,Yes,Yes,No
Laptop HP Pavilion 15-eg0007TX 2D9D5PA (Core i7-1165G7/ 8GB (8GBx1) DDR4 3200MHz/ 512GB PCIe NVMe M.2 SSD/ MX450 2GB GDDR5/ 15.6 FHD IPS/ Win10 + Office) - Hàng Chính Hãng,6313287548403,https://tiki.vn/laptop-hp-pavilion-15-eg0007tx-2d9d5pa-core-i7-1165g7-8gb-8gbx1-ddr4-3200mhz-512gb-pcie-nvme-m-2-ssd-mx450-2gb-gddr5-15-6-fhd-ips-win10-office-hang-chinh-hang-p84749446.html?src=ss-organic,https://salt.tikicdn.com/cache/280x280/ts/product/26/95/f2/0d407d01e9592b4dd96eab6986149367.jpg,22.459.000 ₫,4%,0,"Kiểu dáng gọn nhẹ, sang trọng và tinh tế
Laptop HP Pavilion 15-eg0007TX 2D9D5PA với thiết kế thanh mảnh, chất liệu nắp lưng và chiếu nghỉ tay bằng kim loại với logo HP sáng bóng trên mặt lưng, HP...",Yes,Yes,Yes,No
"Laptop MSI GF63 Thin 9SCSR-829VN (Core i5-9300H/ 8GB DDR4 2666MHz/ 512GB SSD M.2 PCIE/ GTX 1650Ti 4GB GDDR6 with Max-Q/ 15.6 FHD IPS, 144Hz/ Win10) - Hàng Chính Hãng",7154806469714,https://tiki.vn/laptop-msi-gf63-thin-9scsr-829vn-core-i5-9300h-8gb-ddr4-2666mhz-512gb-ssd-m-2-pcie-gtx-1650ti-4gb-gddr6-with-max-q-15-6-fhd-ips-144hz-win10-hang-chinh-hang-p72033183.html?src=ss-organic,https://salt.tikicdn.com/cache/280x280/ts/product/53/75/79/447b6338201e3cdb2ec331112fb9343c.jpg,20.179.000 ₫,12%,0,"Hiệu năng vượt trội chiến game mạnh mẽ
Laptop MSI GF63 Thin 9SCSR-829VN được đầu tư nhiều về hiệu năng với chip Intel Core i5 - 9300H, tốc độ xung nhịp từ 2.4 - 4.1 Hz kết hợp với card đồ họa rời GTX...",Yes,Yes,Yes,No
Laptop Lenovo Ideapad 320-15IKB 80XL03SNVN CORE I3-7130U (15.6inch) (Black) - Hàng Chính Hãng,4889827496199,https://tiki.vn/laptop-lenovo-ideapad-320-15ikb-80xl03snvn-core-i3-7130u-15-6inch-black-hang-chinh-hang-p6606009.html?src=ss-organic,https://salt.tikicdn.com/cache/280x280/ts/product/fb/45/25/b882a7a8eb4700a1f4a5d87239e232a2.jpg,8.990.000 ₫,18%,0,"
Thiết kế tốt trong tầm giá
Laptop Lenovo Ideapad 320-15IKB 80XL03SNVN CORE I3-7130U (15.6 inch) - Black có thiết kế hài hòa được hoàn thiện bằng chất liệu vỏ nhựa có độ dày 22.9mm và trọng lượng...",No,No,No,No
Microsoft Surface Pro 2018 - Core i5-8250U/8G/256GB - Hàng Chính Hãng,2380146480422,https://tiki.vn/microsoft-surface-pro-2018-core-i5-8250u-8g-256gb-hang-chinh-hang-p8286081.html?src=ss-organic,https://salt.tikicdn.com/ts/upload/f3/74/46/f4c52053d220e94a047410420eaf9faf.png,27.445.000 ₫,24%,0,"
Nâng tầm sức mạnh
Microsoft Surface Pro 2018 là một kiệt tác đầy tính sáng tạo, vượt ra khỏi những khuôn khổ của một chiếc laptop. Bước sang thế hệ thứ 6, với những cải tiến mạnh mẽ về sức mạnh...",Yes,No,No,No
Laptop Asus ExpertBook P2451FA-EK1621 (Core i5 10210U/ 8GB DDR4 2666MHz SDRAM/ 1TB 54R HDD + 256GB SSD/ 14 FHD/ DOS) - Hàng Chính Hãng,5896574242149,https://tiki.vn/laptop-asus-expertbook-p2451fa-ek1621-core-i5-10210u-8gb-ddr4-2666mhz-sdram-1tb-54r-hdd-256gb-ssd-14-fhd-dos-hang-chinh-hang-p82482195.html?src=ss-organic,https://salt.tikicdn.com/cache/280x280/ts/product/55/10/e0/e717b3f3f5f010f98ea569c69ba0f50a.jpg,16.849.000 ₫,6%,0,"Thiết kế theo kiến trúc tối giản, bền bỉ, thanh lịch
Các nhà thiết kế của Asus đã lấy cảm hứng từ kiến ​​trúc tối giản, mang đến cho chiếc Laptop Asus ExpertBook P2451FA-EK1621 những đường nét mạnh...",Yes,No,Yes,No
