Image url,Product name,Price after discount,Discount,Review count,sku,description,URL
https://salt.tikicdn.com/cache/280x280/ts/product/2c/2c/48/13b2d433d13c9b71e8f0e08ed8721297.jpg,Apple Macbook Pro 2020 - 13 Inchs (Core i5 - 2.4GHz/ 16GB/ 512GB) - Hàng Chính Hãng,45.999.000 ₫,12%,0,2006593200894,"Hiệu năng mạnh mẽ
Apple Macbook Pro 2020 - 13 Inchs (Core i5 - 2.4GHz/ 8GB/ 512GB) - Hàng Chính Hãng hiện cung cấp bộ xử lý Intel Core lõi tứ thế hệ thứ 10 với tốc độ Turbo Boost lên tới 4,1 GHz....",https://tiki.vn/apple-macbook-pro-2020-13-inchs-core-i5-2-4ghz-16gb-512gb-hang-chinh-hang-p56366389.html?src=ss-organic
https://salt.tikicdn.com/cache/280x280/ts/product/ec/15/65/d97d482f6e6dc468d59ebfa5124e0003.jpg,Laptop Asus ZenBook Flip 13 UX363EA-HP130T (Core i5-1135G7/ 8GB LPDDR4X Onboard/ 512GB SSD PCIE G3x4/ 13.3 FHD Touch IPS/ Win10) - Hàng Chính Hãng,24.629.000 ₫,5%,3,8272271802344,"Bản lề ErgoLift 360 độ linh hoạt
Asus Zenbook Flip UX363EA sử dụng bản lề ErgoLift 360 có khả năng xoay gập và kết cấu chắc chắn. Bạn có thể sử dụng máy tính ở 4 chế độ: máy tính xách tay; dạng mái...",https://tiki.vn/laptop-asus-zenbook-flip-13-ux363ea-hp130t-core-i5-1135g7-8gb-lpddr4x-onboard-512gb-ssd-pcie-g3x4-13-3-fhd-touch-ips-win10-hang-chinh-hang-p75553081.html?src=ss-organic
https://salt.tikicdn.com/cache/280x280/ts/product/3f/a3/6d/1c4877eb00a92d7ad76faa59c41b1c3a.jpg,"Laptop ASUS TUF Gaming A15 FA506IU-AL127T (AMD Ryzen 7 4800H/ 8GB DDR4 3200MHz/ 512GB SSD M.2 PCIE G3X2/ GTX 1660Ti 6GB GDDR6/ 15.6 FHD IPS, 144Hz/ Win10) - Hàng Chính Hãng",25.579.000 ₫,7%,5,9679945874611,"Đẳng cấp chiến binh
Laptop ASUS TUF Gaming A15 FA506IU-AL127T (AMD Ryzen 7 4800H/ 8GB DDR4 3200MHz/ 512GB SSD M.2 PCIE G3X2/ GTX 1660Ti 6GB GDDR6/ 15.6 FHD IPS, 144Hz/ Win10) - Hàng Chính Hãng được...",https://tiki.vn/laptop-asus-tuf-gaming-a15-fa506iu-al127t-amd-ryzen-7-4800h-8gb-ddr4-3200mhz-512gb-ssd-m-2-pcie-g3x2-gtx-1660ti-6gb-gddr6-15-6-fhd-ips-144hz-win10-hang-chinh-hang-p55880882.html?src=ss-organic
https://salt.tikicdn.com/cache/280x280/ts/product/32/af/1c/8cba360dc129256dc345a1d271d5eb76.jpg,Laptop Asus VivoBook S15 S533EA-BQ018T (Core i5-1135G7/ 8GB DDR4 3200MHz/ 512GB M.2 NVMe PCIe 3.0/ 15.6 FHD/ Win10) - Hàng Chính Hãng,17.929.000 ₫,8%,4,6782311867162,"Thiết kế gọn nhẹ
Laptop Asus VivoBook S15 S533EA-BQ018T mang trên mình một sự trang nhã trong thiết kế, với trọng lượng 2.6kg và kích thước 45.8 x 6.5 x 29.0 cm khiến chiếc laptop Asus này vô cùng...",https://tiki.vn/laptop-asus-vivobook-s15-s533ea-bq018t-core-i5-1135g7-8gb-ddr4-3200mhz-512gb-m-2-nvme-pcie-3-0-15-6-fhd-win10-hang-chinh-hang-p73807070.html?src=ss-organic
https://salt.tikicdn.com/cache/280x280/ts/product/ad/2a/8e/9640c153046692b7a841ae9b824dc9ce.jpg,Laptop HP Pavilion x360 14-dw1019TU 2H3N7PA (Core i7-1165G7/ 8GB (4GBx2) DDR4 3200MHz/ 512 GB PCIe/ 14 FHD Touch IPS/ Win10) - Hàng Chính Hãng,20.349.000 ₫,7%,1,4876952393546,"Thiết kế xoay gập ấn tượng
Laptop HP Pavilion x360 14-dw1019TU 2H3N7PA (Core i7-1165G7/ 8GB (4GBx2) DDR4 3200MHz/ 512 GB PCIe/ 14 FHD Touch IPS/ Win10) - Hàng Chính Hãng được thiết kế đơn giản, gọn...",https://tiki.vn/laptop-hp-pavilion-x360-14-dw1019tu-2h3n7pa-core-i7-1165g7-8gb-4gbx2-ddr4-3200mhz-512-gb-pcie-14-fhd-touch-ips-win10-hang-chinh-hang-p77706599.html?src=ss-organic
https://salt.tikicdn.com/ts/upload/f3/74/46/f4c52053d220e94a047410420eaf9faf.png,Laptop Dell Vostro 3400 70235020 (Core i3-1115G4/ 8GB/ 256GB SSD/ 14 FHD/ Win10) - Hàng Chính Hãng,12.950.000 ₫,0%,0,4190463533425,"Thiết kế mỏng nhẹ, luôn đồng hành bên bạn
Công việc của bạn yêu cầu thường xuyên phải di chuyển, cần một chiếc laptop thực sự gọn nhẹ. Laptop Dell Vostro 3400 70235020 chính là một sản phẩm như vậy...",https://tiki.vn/laptop-dell-vostro-3400-70235020-core-i3-1115g4-8gb-256gb-ssd-14-fhd-win10-hang-chinh-hang-p77694537.html?src=ss-organic
https://salt.tikicdn.com/cache/280x280/ts/product/15/88/5a/34f667beec1f0f29ae21310b8735e98a.jpg,Laptop HP ProBook 445 G7 1A1A4PA (AMD R3-4300U/ 4GB DDR4 3200MHz/ 256GB SSD M.2 PCIE/ 14 HD/ Win10) - Hàng Chính Hãng,12.219.000 ₫,6%,6,6050179212425,"Thiết kế hiện đại
Khung máy siêu mỏng với đường nét chắc chắn, cạnh máy mượt mà cùng với phần hoàn thiện màu bạc tự nhiên, tinh tế.
Bộ vi xử lý mượt mà
Được trang bị vộ vi xử lý Ryzen R3-4300U 2.7...",https://tiki.vn/laptop-hp-probook-445-g7-1a1a4pa-amd-r3-4300u-4gb-ddr4-3200mhz-256gb-ssd-m-2-pcie-14-hd-win10-hang-chinh-hang-p59081231.html?src=ss-organic
https://salt.tikicdn.com/ts/upload/f3/74/46/f4c52053d220e94a047410420eaf9faf.png,"Laptop HP ProBook 440 G8, Core i5-1135G7,8GB RAM,256GB SSD,Intel Graphics,14""FHD,Fingerprint,3cell,Win 10 Home 64,Silver_2H0S6PA - Hàng Chính Hãng",18.990.000 ₫,4%,2,1640309017940,Hệ điều hành: Windows 10 Home 64Bộ xử lý: 11th Generation Intel Core i5 processorRam: 8 GB DDR4-2400 SDRAM (1 x 8 GB)Ổ cứng: 256 GB PCIe NVMe SSDĐồ họa: Intel UHD Graphics 620Cồng kết nối: 2 USB 3.1...,https://tiki.vn/laptop-hp-probook-440-g8-core-i5-1135g7-8gb-ram-256gb-ssd-intel-graphics-14-fhd-fingerprint-3cell-win-10-home-64-silver_2h0s6pa-hang-chinh-hang-p77729571.html?src=ss-organic
https://salt.tikicdn.com/cache/280x280/ts/product/91/62/21/ff58f091128297d37b5fe83bcbc34752.jpg,Laptop Asus VivoBook M413IA-EK338T (R5-4500U/ 8GB DDR4 2666MHz/ 512GB SSD M.2 PCIE G3X2/ 14 FHD/ Win10) - Hàng Chính Hãng,14.659.000 ₫,8%,4,1017000120361,"Thiết kế gọn gàng, tinh tế và đầy màu sắc đi kèm với trọng lượng mỏng nhẹ
Trên chiếc Laptop Asus VivoBook M413IA-EK338T, hãng sản xuất đã thiết kế cho nó một bề ngoài cực kỳ bắt mắt. Với kích thước...",https://tiki.vn/laptop-asus-vivobook-m413ia-ek338t-r5-4500u-8gb-ddr4-2666mhz-512gb-ssd-m-2-pcie-g3x2-14-fhd-win10-hang-chinh-hang-p68823638.html?src=ss-organic
https://salt.tikicdn.com/cache/280x280/ts/product/fb/f5/86/4b20ee5b97d713a7b6e1cb8733bb5033.jpg,Laptop MSI Modern 14 B10MW-427VN (Core i3-10110U/ 8GB DDR4 3200MHz/ 256GB PCIe NVMe/ 14 FHD IPS/ Win10) - Hàng Chính Hãng,13.079.000 ₫,7%,2,2884924875701,"Thiết kế siêu mỏng nhẹ
Laptop MSI Modern 14 B10MW-427VN (Core i3-10110U/ 8GB DDR4 3200MHz/ 256GB PCIe NVMe/ 14 FHD IPS/ Win10) - Hàng Chính Hãng là một trong những chiếc laptop 14 inch mỏng nhẹ nhất...",https://tiki.vn/laptop-msi-modern-14-b10mw-427vn-core-i3-10110u-8gb-ddr4-3200mhz-256gb-pcie-nvme-14-fhd-ips-win10-hang-chinh-hang-p77717897.html?src=ss-organic
